[1013/153359:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/160452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/161202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/161406:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/161604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/161716:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/161818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181053:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181735:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183553:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183750:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093306:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093654:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095227:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/102252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/102405:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/102539:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/103154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/103508:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/103934:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/104328:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/104521:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/104643:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/104857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/105249:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112906:ERROR:file_io.cc(30)] read: expected 4, observed 0
